Dates,Crashes
2017-01-01,279
2017-01-02,227
2017-01-03,281
2017-01-04,201
2017-01-05,254
2017-01-06,268
2017-01-07,243
2017-01-08,253
2017-01-09,303
2017-01-10,354
2017-01-11,320
2017-01-12,351
2017-01-13,482
2017-01-14,274
2017-01-15,228
2017-01-16,247
2017-01-17,306
2017-01-18,282
2017-01-19,359
2017-01-20,306
2017-01-21,330
2017-01-22,206
2017-01-23,265
2017-01-24,248
2017-01-25,320
2017-01-26,284
2017-01-27,272
2017-01-28,235
2017-01-29,182
2017-01-30,249
2017-01-31,261
2017-02-01,287
2017-02-02,314
2017-02-03,344
2017-02-04,261
2017-02-05,213
2017-02-06,268
2017-02-07,353
2017-02-08,235
2017-02-09,284
2017-02-10,401
2017-02-11,295
2017-02-12,242
2017-02-13,297
2017-02-14,362
2017-02-15,268
2017-02-16,252
2017-02-17,343
2017-02-18,297
2017-02-19,273
2017-02-20,207
2017-02-21,347
2017-02-22,290
2017-02-23,349
2017-02-24,352
2017-02-25,281
2017-02-26,224
2017-02-27,280
2017-02-28,355
2017-03-01,400
2017-03-02,262
2017-03-03,365
2017-03-04,300
2017-03-05,208
2017-03-06,311
2017-03-07,344
2017-03-08,372
2017-03-09,276
2017-03-10,428
2017-03-11,383
2017-03-12,202
2017-03-13,365
2017-03-14,519
2017-03-15,395
2017-03-16,314
2017-03-17,401
2017-03-18,296
2017-03-19,232
2017-03-20,307
2017-03-21,315
2017-03-22,308
2017-03-23,325
2017-03-24,416
2017-03-25,387
2017-03-26,227
2017-03-27,279
2017-03-28,257
2017-03-29,311
2017-03-30,344
2017-03-31,371
2017-04-01,369
2017-04-02,244
2017-04-03,370
2017-04-04,325
2017-04-05,388
2017-04-06,386
2017-04-07,356
2017-04-08,327
2017-04-09,264
2017-04-10,356
2017-04-11,229
2017-04-12,281
2017-04-13,272
2017-04-14,370
2017-04-15,398
2017-04-16,267
2017-04-17,351
2017-04-18,368
2017-04-19,260
2017-04-20,317
2017-04-21,410
2017-04-22,325
2017-04-23,281
2017-04-24,348
2017-04-25,374
2017-04-26,374
2017-04-27,354
2017-04-28,375
2017-04-29,474
2017-04-30,301
2017-05-01,414
2017-05-02,367
2017-05-03,379
2017-05-04,382
2017-05-05,411
2017-05-06,363
2017-05-07,299
2017-05-08,339
2017-05-09,340
2017-05-10,401
2017-05-11,415
2017-05-12,425
2017-05-13,382
2017-05-14,320
2017-05-15,374
2017-05-16,413
2017-05-17,425
2017-05-18,484
2017-05-19,519
2017-05-20,335
2017-05-21,269
2017-05-22,397
2017-05-23,409
2017-05-24,367
2017-05-25,340
2017-05-26,431
2017-05-27,380
2017-05-28,287
2017-05-29,304
2017-05-30,377
2017-05-31,379
2017-06-01,512
2017-06-02,472
2017-06-03,395
2017-06-04,328
2017-06-05,452
2017-06-06,433
2017-06-07,427
2017-06-08,438
2017-06-09,492
2017-06-10,558
2017-06-11,374
2017-06-12,475
2017-06-13,395
2017-06-14,487
2017-06-15,415
2017-06-16,457
2017-06-17,428
2017-06-18,363
2017-06-19,425
2017-06-20,349
2017-06-21,360
2017-06-22,373
2017-06-23,466
2017-06-24,351
2017-06-25,316
2017-06-26,386
2017-06-27,382
2017-06-28,367
2017-06-29,440
2017-06-30,445
2017-07-01,450
2017-07-02,339
2017-07-03,373
2017-07-04,390
2017-07-05,411
2017-07-06,442
2017-07-07,496
2017-07-08,413
2017-07-09,317
2017-07-10,418
2017-07-11,411
2017-07-12,425
2017-07-13,416
2017-07-14,424
2017-07-15,415
2017-07-16,327
2017-07-17,488
2017-07-18,439
2017-07-19,444
2017-07-20,495
2017-07-21,571
2017-07-22,491
2017-07-23,438
2017-07-24,426
2017-07-25,473
2017-07-26,458
2017-07-27,530
2017-07-28,516
2017-07-29,573
2017-07-30,431
2017-07-31,549
2017-08-01,580
2017-08-02,530
2017-08-03,509
2017-08-04,480
2017-08-05,522
2017-08-06,447
2017-08-07,444
2017-08-08,476
2017-08-09,485
2017-08-10,464
2017-08-11,525
2017-08-12,562
2017-08-13,425
2017-08-14,454
2017-08-15,529
2017-08-16,544
2017-08-17,552
2017-08-18,571
2017-08-19,504
2017-08-20,419
2017-08-21,494
2017-08-22,523
2017-08-23,523
2017-08-24,471
2017-08-25,606
2017-08-26,474
2017-08-27,429
2017-08-28,540
2017-08-29,490
2017-08-30,517
2017-08-31,536
2017-09-01,655
2017-09-02,640
2017-09-03,514
2017-09-04,397
2017-09-05,625
2017-09-06,628
2017-09-07,645
2017-09-08,569
2017-09-09,651
2017-09-10,538
2017-09-11,565
2017-09-12,623
2017-09-13,653
2017-09-14,594
2017-09-15,773
2017-09-16,684
2017-09-17,514
2017-09-18,610
2017-09-19,690
2017-09-20,592
2017-09-21,697
2017-09-22,691
2017-09-23,667
2017-09-24,508
2017-09-25,601
2017-09-26,640
2017-09-27,560
2017-09-28,587
2017-09-29,730
2017-09-30,644
2017-10-01,518
2017-10-02,590
2017-10-03,705
2017-10-04,585
2017-10-05,625
2017-10-06,855
2017-10-07,707
2017-10-08,540
2017-10-09,557
2017-10-10,777
2017-10-11,805
2017-10-12,591
2017-10-13,719
2017-10-14,758
2017-10-15,467
2017-10-16,593
2017-10-17,646
2017-10-18,672
2017-10-19,666
2017-10-20,798
2017-10-21,622
2017-10-22,615
2017-10-23,770
2017-10-24,907
2017-10-25,631
2017-10-26,629
2017-10-27,682
2017-10-28,598
2017-10-29,584
2017-10-30,549
2017-10-31,624
2017-11-01,824
2017-11-02,825
2017-11-03,667
2017-11-04,785
2017-11-05,559
2017-11-06,625
2017-11-07,671
2017-11-08,641
2017-11-09,605
2017-11-10,1142
2017-11-11,625
2017-11-12,652
2017-11-13,698
2017-11-14,597
2017-11-15,707
2017-11-16,590
2017-11-17,869
2017-11-18,717
2017-11-19,552
2017-11-20,574
2017-11-21,655
2017-11-22,592
2017-11-23,395
2017-11-24,474
2017-11-25,514
2017-11-26,467
2017-11-27,544
2017-11-28,556
2017-11-29,618
2017-11-30,589
2017-12-01,743
2017-12-02,688
2017-12-03,591
2017-12-04,636
2017-12-05,727
2017-12-06,673
2017-12-07,665
2017-12-08,800
2017-12-09,827
2017-12-10,505
2017-12-11,560
2017-12-12,641
2017-12-13,634
2017-12-14,719
