Dates,Robbery,Assault,Sexual Assault
2017-01,1075,1373,154
2017-02,787,1295,124
2017-03,783,1486,105
2017-04,851,1638,146
2017-05,903,1853,133
2017-06,981,1857,117
2017-07,1004,1821,162
2017-08,1174,1739,159
2017-09,1002,1786,145
2017-10,1119,1628,148
2017-11,1128,1454,123
2017-12,1072,1374,119
2018-01,898,1416,111
2018-02,636,1355,113
2018-03,738,1618,116
2018-04,693,1641,118
2018-05,802,2036,149
2018-06,858,1878,150
2018-07,876,1943,152
2018-08,942,1849,152
2018-09,768,1814,155
2018-10,837,1716,146
2018-11,787,1542,140
2018-12,845,1590,130
